0.797 0.222 0.406 0.817 1.0
0.704 0.502 0.376 0.470 1.0
0.389 0.333 0.476 0.381 -1.0
0.286 0.625 0.210 0.767 1.0
0.803 0.240 0.002 0.328 -1.0
0.373 0.138 0.709 0.015 -1.0
0.293 0.812 0.421 0.699 1.0
0.258 0.403 0.131 0.633 -1.0
0.499 0.022 0.206 0.975 -1.0
0.320 0.261 0.028 0.530 -1.0
0.007 0.333 0.267 0.010 -1.0
0.474 0.382 0.799 0.183 -1.0
0.997 0.476 0.210 0.418 1.0
0.840 0.676 0.578 0.971 1.0
0.450 0.469 0.331 0.656 -1.0
0.734 0.976 0.705 0.762 1.0
0.733 0.769 0.838 1.000 1.0
0.499 0.474 0.161 0.297 -1.0
0.559 0.294 0.132 0.769 -1.0
0.307 0.609 0.388 0.885 1.0
0.698 0.336 0.049 0.029 1.0
0.493 0.763 0.968 0.198 1.0
0.473 0.931 0.294 0.312 1.0
0.073 0.810 0.404 0.234 -1.0
0.061 0.793 0.402 0.193 -1.0
0.114 0.500 0.171 0.503 -1.0
0.751 0.201 0.722 0.800 1.0
0.713 0.294 0.993 0.681 1.0
0.517 0.155 0.422 0.811 -1.0
0.353 0.884 0.277 0.757 1.0
0.384 0.818 0.910 0.786 1.0
0.472 0.900 0.511 0.643 1.0
0.897 0.394 0.604 0.618 1.0
0.833 0.332 0.488 0.826 1.0
0.980 0.343 0.168 0.402 -1.0
0.634 0.755 0.038 0.911 1.0
0.156 0.295 0.330 0.066 -1.0
0.341 0.538 0.981 0.852 1.0
0.384 0.748 0.575 0.988 1.0
0.769 0.821 0.699 0.257 1.0
0.712 0.236 0.991 0.880 1.0
0.145 0.514 0.394 0.184 -1.0
0.906 0.340 0.721 0.236 1.0
0.802 0.577 0.944 0.783 1.0
0.125 0.168 0.177 0.700 -1.0
0.544 0.469 0.977 0.242 1.0
0.624 0.954 0.962 0.614 1.0
0.600 0.760 0.349 0.994 1.0
0.774 0.900 0.283 0.495 1.0
0.689 0.297 0.713 0.633 1.0
