0.132 0.643 0.723 0.161   -1.0
0.906 0.453 0.023 0.074   -1.0
0.987 0.448 0.619 0.433   1.0
0.005 0.766 0.771 0.995   1.0
0.447 0.603 0.476 0.088   -1.0
0.227 0.214 0.950 0.951   1.0
0.847 0.083 0.534 0.570   1.0
0.569 0.475 0.697 0.592   1.0
0.987 0.579 0.997 0.606   1.0
0.306 0.611 0.778 0.077   -1.0
0.035 0.524 0.208 0.511   -1.0
0.375 0.737 0.826 0.325   1.0
0.716 0.172 0.772 0.250   -1.0
0.017 0.819 0.217 0.713   -1.0
0.766 0.700 0.990 0.764   1.0
0.001 0.070 0.916 0.779   -1.0
0.522 0.814 0.671 0.730   1.0
0.283 0.104 0.063 0.109   -1.0
0.752 0.825 0.601 0.524   1.0
0.342 0.540 0.895 0.560   1.0
0.306 0.326 0.954 0.295   -1.0
0.260 0.296 0.159 0.176   -1.0
0.306 0.698 0.890 0.978   1.0
0.215 0.261 0.531 0.278   -1.0
0.960 0.029 0.195 0.561   -1.0
0.271 0.903 0.094 0.165   -1.0
0.348 0.471 0.789 0.302   -1.0
0.878 0.561 0.062 0.037   -1.0
0.138 0.344 0.435 0.028   -1.0
0.862 0.244 0.583 0.393   1.0
0.953 0.353 0.551 0.148   1.0
0.104 0.419 0.818 0.198   -1.0
0.281 0.546 0.055 0.069   -1.0
0.820 0.948 0.409 0.883   -1.0*
0.146 0.021 0.329 0.580   -1.0
0.651 0.442 0.293 0.233   -1.0
0.814 0.186 0.189 0.365   -1.0
0.103 0.469 0.752 0.921   1.0
0.336 0.201 0.214 0.391   -1.0
0.061 0.211 0.218 0.470   -1.0
0.203 0.616 0.115 0.532   -1.0
0.164 0.183 0.638 0.456   -1.0
0.473 0.271 0.602 0.662   1.0
0.935 0.765 0.105 0.688   1.0
0.773 0.024 0.887 0.986   1.0
0.158 0.048 0.625 0.376   -1.0
0.719 0.580 0.133 0.834   1.0
0.329 0.997 0.294 0.967   1.0
0.710 0.440 0.725 0.312   1.0
0.360 0.247 0.868 0.466   -1.0
0.554 0.238 0.959 0.441   1.0
0.373 0.599 0.273 0.998   -1.0*
0.790 0.717 0.555 0.923   1.0
0.667 0.252 0.548 0.962   1.0
0.002 0.672 0.659 0.727   -1.0*
0.762 0.087 0.232 0.630   -1.0
0.167 0.184 0.791 0.126   -1.0
0.016 0.499 0.225 0.289   -1.0
0.200 0.079 0.215 0.756   -1.0
0.766 0.423 0.253 0.314   -1.0
0.472 0.316 0.057 0.131   -1.0
0.041 0.893 0.131 0.273   -1.0
0.684 0.439 0.707 0.475   1.0
0.332 0.491 0.064 0.556   -1.0
0.561 0.757 0.859 0.776   1.0
0.861 0.542 0.935 0.114   1.0
0.320 0.586 0.172 0.377   -1.0
0.216 0.418 0.611 0.346   -1.0
0.134 0.030 0.130 0.841   -1.0
0.695 0.172 0.996 0.759   1.0
0.776 0.321 0.485 0.635   1.0
0.998 0.496 0.638 0.933   1.0
0.494 0.253 0.197 0.666   -1.0
0.915 0.882 0.048 0.526   1.0
0.739 0.660 0.258 0.869   1.0
0.762 0.565 0.673 0.759   1.0
0.402 0.535 0.645 0.887   1.0
0.741 0.885 0.666 0.379   1.0
0.277 0.873 0.071 0.473   -1.0
0.701 0.388 0.420 0.749   1.0
0.648 0.488 0.574 0.906   1.0
0.074 0.668 0.922 0.747   1.0
0.246 0.149 0.962 0.891   1.0
0.132 0.632 0.920 0.798   1.0
0.738 0.075 0.884 0.809   1.0
0.423 0.510 0.937 0.843   1.0
0.851 0.491 0.748 0.424   1.0
0.106 0.498 0.065 0.028   -1.0
0.492 0.274 0.394 0.454   -1.0
0.430 0.586 0.796 0.350   1.0
0.807 0.088 0.459 0.691   1.0
0.008 0.113 0.407 0.944   1.0*
0.667 0.795 0.447 0.415   1.0
0.844 0.521 0.717 0.909   1.0
0.963 0.401 0.823 0.357   1.0
0.988 0.786 0.440 0.784   1.0
0.824 0.591 0.224 0.283   -1.0
0.121 0.291 0.395 0.528   -1.0
0.351 0.195 0.030 0.798   -1.0
0.249 0.642 0.132 0.967   -1.0
0.681 0.929 0.952 0.504   1.0
0.807 0.492 0.072 0.247   -1.0
0.208 0.071 0.867 0.432   -1.0
0.149 0.553 0.644 0.544   -1.0
0.879 0.895 0.277 0.909   1.0
0.888 0.159 0.336 0.019   -1.0
0.887 0.700 0.054 0.839   1.0
0.340 0.646 0.696 0.412   1.0
0.972 0.620 0.963 0.839   1.0
0.317 0.988 0.605 0.961   1.0
0.687 0.840 0.427 0.964   1.0
0.121 0.851 0.909 0.457   1.0
0.034 0.344 0.571 0.088   -1.0
0.775 0.428 0.829 0.471   1.0
0.722 0.443 0.461 0.685   1.0
0.513 0.002 0.270 0.118   1.0*
0.802 0.805 0.804 0.230   1.0
0.553 0.351 0.619 0.462   -1.0
0.490 0.496 0.151 0.061   -1.0
0.334 0.836 0.012 0.164   -1.0
0.853 0.886 0.750 0.314   1.0
0.032 0.827 0.573 0.302   -1.0
0.536 0.105 0.749 0.339   -1.0
0.517 0.893 0.685 0.137   1.0
0.493 0.627 0.850 0.644   1.0
0.434 0.979 0.524 0.447   1.0
0.832 0.300 0.028 0.582   -1.0
0.599 0.614 0.440 0.171   -1.0
0.384 0.707 0.021 0.134   -1.0
0.356 0.651 0.939 0.041   -1.0
0.294 0.534 0.414 0.144   -1.0
0.102 0.578 0.157 0.627   -1.0
0.299 0.458 0.325 0.327   -1.0
0.938 0.926 0.654 0.378   1.0
0.571 0.763 0.804 0.592   1.0
0.850 0.948 0.547 0.789   -1.0*
0.334 0.083 0.524 0.748   -1.0
0.702 0.851 0.805 0.859   1.0
0.830 0.158 0.935 0.154   1.0
0.976 0.093 0.411 0.630   1.0
0.507 0.201 0.233 0.311   -1.0
0.129 0.162 0.741 0.676   1.0*
0.731 0.010 0.034 0.255   -1.0
0.261 0.957 0.609 0.066   -1.0
0.086 0.896 0.973 0.022   -1.0
0.458 0.997 0.143 0.869   1.0
0.613 0.376 0.828 0.846   1.0
0.621 0.975 0.849 0.362   1.0
0.800 0.093 0.661 0.834   1.0
0.419 0.095 0.305 0.028   -1.0
0.121 0.114 0.056 0.094   -1.0
0.106 0.552 0.133 0.249   -1.0
0.760 0.862 0.798 0.588   1.0
0.485 0.209 0.683 0.335   -1.0
0.334 0.135 0.665 0.995   -1.0*
0.013 0.415 0.064 0.318   -1.0
0.225 0.439 0.557 0.280   -1.0
0.693 0.386 0.085 0.826   -1.0
0.506 0.586 0.497 0.304   -1.0
0.204 0.789 0.383 0.887   1.0
0.954 0.222 0.260 0.619   1.0
0.229 0.631 0.631 0.293   -1.0
0.074 0.518 0.388 0.631   -1.0
0.920 0.324 0.185 0.005   -1.0
0.820 0.512 0.737 0.316   1.0
0.911 0.521 0.605 0.294   1.0
0.729 0.248 0.630 0.989   1.0
0.847 0.218 0.498 0.478   1.0
0.447 0.552 0.029 0.835   -1.0
0.827 0.755 0.508 0.012   1.0
0.658 0.832 0.272 0.395   1.0
0.088 0.305 0.668 0.693   -1.0
0.076 0.423 0.847 0.706   1.0
0.713 0.553 0.629 0.210   1.0
0.140 0.657 0.583 0.169   -1.0
0.767 0.996 0.247 0.275   1.0
0.008 0.933 0.840 0.280   1.0
0.987 0.368 0.633 0.656   1.0
0.232 0.732 0.484 0.079   -1.0
0.895 0.792 0.991 0.524   1.0
0.023 0.665 0.659 0.606   -1.0
0.151 0.373 0.830 0.398   -1.0
0.838 0.406 0.581 0.678   1.0
0.909 0.665 0.054 0.542   1.0
0.115 0.775 0.054 0.599   -1.0
0.492 0.494 0.646 0.484   1.0
0.648 0.506 0.683 0.307   1.0
0.517 0.459 0.485 0.347   -1.0
0.133 0.185 0.263 0.713   -1.0
0.949 0.622 0.529 0.003   1.0
0.850 0.118 0.940 0.904   1.0
0.794 0.396 0.210 0.440   -1.0
0.228 0.087 0.386 0.910   -1.0
0.498 0.427 0.853 0.983   1.0
0.711 0.115 0.959 0.974   1.0
0.823 0.923 0.451 0.352   1.0
0.616 0.202 0.043 0.556   -1.0
0.759 0.350 0.501 0.969   1.0
0.381 0.197 0.877 0.766   1.0
0.271 0.264 0.535 0.125   -1.0
0.309 0.835 0.362 0.268   -1.0
0.190 0.091 0.732 0.641   -1.0
0.658 0.257 0.644 0.701   1.0
0.749 0.460 0.163 0.251   -1.0
0.952 0.631 0.627 0.829   1.0
0.734 0.100 0.662 0.269   -1.0
0.909 0.577 0.060 0.270   -1.0
0.869 0.461 0.936 0.601   1.0
0.378 0.259 0.359 0.022   1.0*
0.173 0.772 0.420 0.336   -1.0
0.850 0.288 0.653 0.477   1.0
0.051 0.211 0.217 0.713   -1.0
0.442 0.622 0.057 0.502   -1.0
0.902 0.372 0.352 0.839   -1.0*
0.454 0.217 0.232 0.814   -1.0
0.192 0.986 0.011 0.612   -1.0
0.033 0.462 0.610 0.687   -1.0
0.727 0.738 0.150 0.944   1.0
0.630 0.386 0.073 0.687   -1.0
0.964 0.589 0.260 0.317   1.0
0.233 0.771 0.645 0.465   1.0
0.884 0.657 0.571 0.896   1.0
0.894 0.929 0.731 0.504   1.0
0.671 0.231 0.354 0.821   1.0
0.805 0.451 0.561 0.877   1.0
0.450 0.842 0.727 0.710   1.0
0.155 0.943 0.930 0.800   1.0
0.515 0.684 0.064 0.086   -1.0
0.333 0.980 0.509 0.064   -1.0
0.125 0.735 0.714 0.478   1.0
0.889 0.283 0.006 0.451   -1.0
0.144 0.901 0.002 0.871   -1.0
0.160 0.026 0.554 0.090   -1.0
0.962 0.605 0.510 0.026   1.0
0.090 0.359 0.672 0.599   -1.0
0.155 0.724 0.159 0.870   -1.0
0.715 0.759 0.485 0.721   1.0
0.645 0.865 0.111 0.646   1.0
0.722 0.807 0.762 0.276   1.0
0.588 0.238 0.503 0.098   -1.0
0.195 0.189 0.624 0.866   -1.0
0.048 0.022 0.512 0.207   -1.0
0.713 0.921 0.651 0.198   1.0
0.861 0.843 0.508 0.972   1.0
0.244 0.694 0.296 0.006   1.0*
0.193 0.594 0.209 0.696   -1.0
